Sample,Mean_vel,Min_vel,Max_vel,Screen_time_off_percent
02765,0.0084,0.0000,0.0714,100.0000
02772,0.0288,0.0000,0.1447,100.0000
02773,0.0091,0.0000,0.0591,100.0000
02774,0.0072,0.0000,0.1003,100.0000
02776,0.0063,0.0000,0.0515,100.0000
02780,0.0080,0.0000,0.0876,100.0000
02781,0.0063,0.0000,0.0813,100.0000
02785,0.0107,0.0000,0.0739,100.0000
02797,0.0228,0.0000,0.1043,100.0000
02805,0.0123,0.0000,0.2065,100.0000
02818,0.0221,0.0000,0.1540,100.0000
02819,0.0114,0.0000,0.0845,100.0000
02827,0.0091,0.0000,0.0528,100.0000
02829,0.0103,0.0000,0.1454,100.0000
02832,0.0041,0.0000,0.0334,100.0000
02833,0.0061,0.0000,0.0469,100.0000
02837,0.0073,0.0000,0.0812,100.0000
02840,0.0062,0.0000,0.0443,100.0000
02841,0.0228,0.0000,0.1362,100.0000
02843,0.0101,0.0000,0.0602,100.0000
02846,0.0062,0.0000,0.0486,100.0000
00002,0.1410,0.0000,0.7396,100.0000
00003,0.1079,0.0000,0.4456,100.0000
00005,0.7668,0.0000,1.9581,100.0000
00006,0.0642,0.0000,0.4396,100.0000
00010,0.0024,0.0000,0.0219,100.0000
00024,0.0927,0.0000,0.4814,100.0000
00028,0.0094,0.0000,0.0605,100.0000
00033,0.0088,0.0000,0.0670,100.0000
00034,0.0128,0.0000,0.0816,100.0000
00087,0.1237,0.0000,0.5569,100.0000
00089,0.3351,0.0000,1.5435,100.0000
00097,0.0407,0.0000,0.1878,100.0000
00098,0.0108,0.0000,0.1156,100.0000
00099,0.0068,0.0000,0.0751,100.0000
00102,0.0219,0.0000,0.1019,100.0000
00103,0.0538,0.0000,0.2569,100.0000
00104,0.0058,0.0000,0.0638,100.0000
00110,0.0160,0.0000,0.1344,100.0000
00114,0.0007,0.0000,0.1363,100.0000
00117,0.0047,0.0000,0.0289,100.0000
00120,0.0089,0.0000,0.0651,100.0000
00121,0.0045,0.0000,0.0416,100.0000
00122,0.0099,0.0000,0.0964,100.0000
00123,0.0061,0.0000,0.0443,100.0000
00124,0.0066,0.0000,0.0432,100.0000
00126,0.0048,0.0000,0.0535,100.0000
00127,0.0243,0.0000,0.2015,100.0000
00128,0.0063,0.0000,0.0709,100.0000
00130,0.0055,0.0000,0.0443,100.0000
00132,0.0154,0.0000,0.1094,100.0000
00133,0.0029,0.0000,0.0751,100.0000
00135,0.0026,0.0000,0.0390,100.0000
00137,0.0083,0.0000,0.0542,100.0000
00138,0.0087,0.0000,0.0699,100.0000
00139,0.0058,0.0000,0.0720,100.0000
00140,0.0140,0.0000,0.1323,100.0000
00141,0.0056,0.0000,0.0349,100.0000
00142,0.0060,0.0000,0.0484,100.0000
00143,0.0134,0.0000,0.0897,100.0000
00144,0.0202,0.0000,0.1255,100.0000
00145,0.0076,0.0000,0.0815,100.0000
00146,0.0134,0.0000,0.0983,100.0000
00148,0.0078,0.0000,0.1176,100.0000
00149,0.0030,0.0000,0.0880,100.0000
00150,0.0054,0.0000,0.0701,100.0000
00153,0.0080,0.0000,0.0632,100.0000
00154,0.0063,0.0000,0.0619,100.0000
00156,0.0046,0.0000,0.0471,100.0000
00162,0.0184,0.0000,0.0806,100.0000
00164,0.0051,0.0000,0.0647,100.0000
00165,0.0213,0.0000,0.1200,100.0000
00173,0.0208,0.0000,0.1536,100.0000
00178,0.0124,0.0000,0.0883,100.0000
00179,0.0072,0.0000,0.0452,100.0000
00190,0.0232,0.0000,0.3553,100.0000
00191,0.0137,0.0000,0.0875,100.0000
00192,0.0050,0.0000,0.0401,100.0000
00194,0.0045,0.0000,0.0638,100.0000
00198,0.0046,0.0000,0.0381,100.0000
00200,0.0134,0.0000,0.0996,100.0000
00202,0.0098,0.0000,0.0577,100.0000
00207,0.0095,0.0000,0.0531,100.0000
00208,0.0036,0.0000,0.0782,100.0000
00209,0.0082,0.0000,0.0581,100.0000
00210,0.0068,0.0000,0.0825,100.0000
00211,0.0098,0.0000,0.0909,100.0000
00212,0.0118,0.0000,0.0572,100.0000
00213,0.0078,0.0000,0.0837,100.0000
00214,0.0227,0.0000,0.2117,100.0000
00218,0.0263,0.0000,0.1585,100.0000
00220,0.0202,0.0000,0.1815,100.0000
00221,0.0079,0.0000,0.0736,100.0000
00222,0.0047,0.0000,0.0557,100.0000
00224,0.0197,0.0000,0.1110,100.0000
00225,0.0054,0.0000,0.0860,100.0000
00226,0.0179,0.0000,0.0760,100.0000
00227,0.0080,0.0000,0.1220,100.0000
00228,0.0073,0.0000,0.0600,100.0000
00229,0.4713,0.0000,1.6539,100.0000
