Sample,Mean_vel,Min_vel,Max_vel,Screen_time_off_percent,Sex
02765,0.0084,0.0,0.0714,55.3277,0
02772,0.0288,0.0,0.1447,49.0018,0
02773,0.0091,0.0,0.0591,55.6081,0
02774,0.0072,0.0,0.1003,47.8017,0
02776,0.0063,0.0,0.0515,66.3137,0
02780,0.008,0.0,0.0876,37.1778,1
02781,0.0063,0.0,0.0813,16.0656,0
02785,0.0107,0.0,0.0739,45.2875,0
02797,0.0228,0.0,0.1043,81.4076,1
02805,0.0123,0.0,0.2065,9.4723,1
02818,0.0221,0.0,0.154,82.5702,1
02819,0.0114,0.0,0.0845,41.3899,0
02827,0.0091,0.0,0.0528,46.8527,1
02829,0.0103,0.0,0.1454,58.5076,0
02832,0.0041,0.0,0.0334,74.8433,1
02833,0.0061,0.0,0.0469,76.9776,1
02837,0.0073,0.0,0.0812,35.166,0
02840,0.0062,0.0,0.0443,52.4044,0
02841,0.0228,0.0,0.1362,50.1932,0
02843,0.0101,0.0,0.0602,59.1889,0
02846,0.0062,0.0,0.0486,46.5971,1
00002,0.141,0.0,0.7396,54.5455,1
00003,0.1079,0.0,0.4456,85.1485,1
00005,0.7668,0.0,1.9581,83.3333,0
00006,0.0642,0.0,0.4396,100.0,0
00010,0.0024,0.0,0.0219,95.2345,1
00024,0.0927,0.0,0.4814,98.9691,1
00028,0.0094,0.0,0.0605,79.9089,1
00033,0.0088,0.0,0.067,84.0393,0
00034,0.0128,0.0,0.0816,99.4382,1
00087,0.1237,0.0,0.5569,63.1579,1
00089,0.3351,0.0,1.5435,20.3704,1
00097,0.0407,0.0,0.1878,87.1968,0
00098,0.0108,0.0,0.1156,65.4746,1
00099,0.0068,0.0,0.0751,66.872,0
00102,0.0219,0.0,0.1019,82.618,0
00103,0.0538,0.0,0.2569,100.0,0
00104,0.0058,0.0,0.0638,89.9191,0
00110,0.016,0.0,0.1344,90.6757,1
00114,0.0007,0.0,0.1363,0.2822,1
00117,0.0047,0.0,0.0289,94.0071,0
00120,0.0089,0.0,0.0651,78.8129,1
00121,0.0045,0.0,0.0416,85.89,1
00122,0.0099,0.0,0.0964,66.1466,0
00123,0.0061,0.0,0.0443,98.3113,1
00124,0.0066,0.0,0.0432,94.6975,0
00126,0.0048,0.0,0.0535,97.3101,0
00127,0.0243,0.0,0.2015,50.9874,0
00128,0.0063,0.0,0.0709,67.3497,0
00130,0.0055,0.0,0.0443,87.9142,1
00132,0.0154,0.0,0.1094,79.6832,1
00133,0.0029,0.0,0.0751,21.458,1
00135,0.0026,0.0,0.039,91.2407,0
00137,0.0083,0.0,0.0542,85.8339,1
00138,0.0087,0.0,0.0699,84.6437,0
00139,0.0058,0.0,0.072,94.5097,1
00140,0.014,0.0,0.1323,95.8188,0
00141,0.0056,0.0,0.0349,98.4889,1
00142,0.006,0.0,0.0484,97.8959,0
00143,0.0134,0.0,0.0897,96.9633,0
00144,0.0202,0.0,0.1255,76.3768,0
00145,0.0076,0.0,0.0815,49.6142,1
00146,0.0134,0.0,0.0983,99.4092,0
00148,0.0078,0.0,0.1176,99.4375,0
00149,0.003,0.0,0.088,4.7255,1
00150,0.0054,0.0,0.0701,82.1165,0
00153,0.008,0.0,0.0632,73.2558,0
00154,0.0063,0.0,0.0619,83.2468,0
00156,0.0046,0.0,0.0471,98.9765,1
00162,0.0184,0.0,0.0806,79.8566,1
00164,0.0051,0.0,0.0647,88.1142,0
00165,0.0213,0.0,0.12,62.0149,0
00173,0.0208,0.0,0.1536,45.8884,0
00178,0.0124,0.0,0.0883,97.3793,1
00179,0.0072,0.0,0.0452,83.9036,0
00190,0.0232,0.0,0.3553,42.2638,0
00191,0.0137,0.0,0.0875,88.8518,1
00192,0.005,0.0,0.0401,99.4915,0
00194,0.0045,0.0,0.0638,39.2955,1
00198,0.0046,0.0,0.0381,99.8523,1
00200,0.0134,0.0,0.0996,80.798,1
00202,0.0098,0.0,0.0577,92.2876,0
00207,0.0095,0.0,0.0531,98.8581,0
00208,0.0036,0.0,0.0782,16.1281,0
00209,0.0082,0.0,0.0581,75.3397,0
00210,0.0068,0.0,0.0825,52.0031,1
00211,0.0098,0.0,0.0909,45.369,0
00212,0.0118,0.0,0.0572,77.6228,0
00213,0.0078,0.0,0.0837,92.5761,1
00214,0.0227,0.0,0.2117,44.9929,0
00218,0.0263,0.0,0.1585,91.5937,0
00220,0.0202,0.0,0.1815,60.1275,1
00221,0.0079,0.0,0.0736,65.8187,1
00222,0.0047,0.0,0.0557,89.0308,0
00224,0.0197,0.0,0.111,75.6484,1
00225,0.0054,0.0,0.086,58.6466,1
00226,0.0179,0.0,0.076,89.0102,0
00227,0.008,0.0,0.122,87.4451,0
00228,0.0073,0.0,0.06,73.0541,1
00229,0.4713,0.0,1.6539,60.6061,1
00232,0.0299,0.0,0.2119,84.3284,0
00233,0.0164,0.0,0.1422,16.4097,0
00234,0.0378,0.0,0.227,100.0,0
00236,0.0058,0.0,0.0586,74.1254,1
00237,0.0069,0.0,0.0868,70.354,1
00238,0.021,0.0,0.2141,34.4932,0
00239,0.0036,0.0,0.0349,88.8226,1
00240,0.0064,0.0,0.0528,92.8877,0
00241,0.0126,0.0,0.0979,70.5518,0
00243,0.0913,0.0,0.5659,81.1881,1
00245,0.025,0.0,0.1599,82.5704,1
00247,0.0028,0.0,0.0315,95.9198,1
00249,0.0063,0.0,0.0416,96.3078,1
00251,0.003,0.0,0.0324,59.0062,1
00252,0.0025,0.0,0.024,96.7634,0
00258,0.0717,0.0,0.3498,81.068,1
00266,1.9225,0.2048,4.6808,100.0,0
00267,0.0086,0.0,0.0799,75.4343,0
00268,0.0051,0.0,0.063,26.501,0
00269,0.0036,0.0,0.0316,56.7454,1
00273,0.0035,0.0,0.0345,97.1993,0
00274,0.0077,0.0,0.062,85.8636,0
00285,0.0047,0.0,0.0532,78.7668,0
00288,0.0031,0.0,0.0368,76.2035,0
00289,0.1155,0.0,0.5226,74.7475,0
00295,0.8751,0.084,4.2379,91.6667,1
00296,0.0139,0.0,0.1556,87.7119,1
00299,0.0044,0.0,0.0662,75.4702,0
00300,0.0047,0.0,0.0376,94.3626,1
00303,0.3945,0.0,1.0777,77.3585,0
00304,0.0096,0.0,0.0501,84.4541,0
00305,0.0052,0.0,0.0361,85.3053,0
00307,0.2016,0.0,1.314,13.0435,0
00309,0.0049,0.0,0.0534,41.5055,0
00310,0.043,0.0,0.2058,76.087,1
00311,0.423,0.0,1.7111,43.1373,0
00312,0.0142,0.0,0.1072,91.1618,0
00317,0.1056,0.0,0.6534,94.2857,1
00319,0.0045,0.0,0.0477,34.3842,1
00322,0.0075,0.0,0.0555,33.3534,1
00324,0.0078,0.0,0.0738,59.3842,1
00325,0.0047,0.0,0.0718,46.4673,0
00326,0.0033,0.0,0.0369,56.3798,0
00330,0.0113,0.0,0.0827,83.8534,0
00331,0.0397,0.0,0.4055,50.7092,0
00332,0.0212,0.0,0.1425,77.2201,1
00339,0.5022,0.0,2.9253,92.2222,0
00342,0.0252,0.0,0.1182,100.0,0
00343,0.0119,0.0,0.0684,84.1088,1
00351,0.0061,0.0,0.0462,48.6827,0
00354,0.1733,0.0,0.5691,86.9565,1
00355,0.0413,0.0,0.2057,85.6282,1
00356,0.0037,0.0,0.039,92.9562,0
00357,0.0056,0.0,0.0472,87.8049,0
00358,0.0029,0.0,0.0471,53.8428,0
00359,0.0147,0.0,0.1101,56.038,0
00363,0.0042,0.0,0.0302,80.4766,1
00376,0.0053,0.0,0.0348,88.2757,1
00377,0.0051,0.0,0.0662,54.0159,0
00382,0.0032,0.0,0.0312,87.6926,0
