Sample,Mean_vel,Min_vel,Max_vel,Screen_time_off_percent
02765,0.0084,0.0000,0.0714,96.8300
02772,0.0288,0.0000,0.1447,94.6461
02773,0.0091,0.0000,0.0591,96.1486
02774,0.0072,0.0000,0.1003,97.5550
02776,0.0063,0.0000,0.0515,96.1569
02780,0.0080,0.0000,0.0876,98.7768
02781,0.0063,0.0000,0.0813,99.1393
02785,0.0107,0.0000,0.0739,96.3713
02797,0.0228,0.0000,0.1043,99.7899
02805,0.0123,0.0000,0.2065,100.0000
02818,0.0221,0.0000,0.1540,99.8523
02819,0.0114,0.0000,0.0845,96.2413
02827,0.0091,0.0000,0.0528,92.2605
02829,0.0103,0.0000,0.1454,99.3821
02832,0.0041,0.0000,0.0334,97.2667
02833,0.0061,0.0000,0.0469,95.7891
02837,0.0073,0.0000,0.0812,98.2104
02840,0.0062,0.0000,0.0443,93.7130
02841,0.0228,0.0000,0.1362,99.0821
02843,0.0101,0.0000,0.0602,93.6943
02846,0.0062,0.0000,0.0486,96.3593
00002,0.1410,0.0000,0.7396,97.9798
00003,0.1079,0.0000,0.4456,100.0000
00005,0.7668,0.0000,1.9581,88.8889
00006,0.0642,0.0000,0.4396,100.0000
00010,0.0024,0.0000,0.0219,99.1267
00024,0.0927,0.0000,0.4814,100.0000
00028,0.0094,0.0000,0.0605,99.1397
00033,0.0088,0.0000,0.0670,98.7087
00034,0.0128,0.0000,0.0816,100.0000
00087,0.1237,0.0000,0.5569,100.0000
00089,0.3351,0.0000,1.5435,100.0000
00097,0.0407,0.0000,0.1878,98.5175
00098,0.0108,0.0000,0.1156,99.8624
00099,0.0068,0.0000,0.0751,96.6461
00102,0.0219,0.0000,0.1019,99.7854
00103,0.0538,0.0000,0.2569,100.0000
00104,0.0058,0.0000,0.0638,97.2690
00110,0.0160,0.0000,0.1344,99.1892
00114,0.0007,0.0000,0.1363,99.9436
00117,0.0047,0.0000,0.0289,99.8227
00120,0.0089,0.0000,0.0651,98.2720
00121,0.0045,0.0000,0.0416,98.4081
00122,0.0099,0.0000,0.0964,95.9438
00123,0.0061,0.0000,0.0443,99.8532
00124,0.0066,0.0000,0.0432,99.7013
00126,0.0048,0.0000,0.0535,99.2089
00127,0.0243,0.0000,0.2015,99.4614
00128,0.0063,0.0000,0.0709,99.7723
00130,0.0055,0.0000,0.0443,98.1551
00132,0.0154,0.0000,0.1094,99.7934
00133,0.0029,0.0000,0.0751,99.8624
00135,0.0026,0.0000,0.0390,98.8800
00137,0.0083,0.0000,0.0542,98.3252
00138,0.0087,0.0000,0.0699,98.7101
00139,0.0058,0.0000,0.0720,99.1367
00140,0.0140,0.0000,0.1323,100.0000
00141,0.0056,0.0000,0.0349,99.3620
00142,0.0060,0.0000,0.0484,99.7504
00143,0.0134,0.0000,0.0897,98.2345
00144,0.0202,0.0000,0.1255,99.8551
00145,0.0076,0.0000,0.0815,98.4568
00146,0.0134,0.0000,0.0983,99.5569
00148,0.0078,0.0000,0.1176,99.8125
00149,0.0030,0.0000,0.0880,99.8610
00150,0.0054,0.0000,0.0701,95.7596
00153,0.0080,0.0000,0.0632,92.8052
00154,0.0063,0.0000,0.0619,99.7776
00156,0.0046,0.0000,0.0471,99.8863
00162,0.0184,0.0000,0.0806,99.6741
00164,0.0051,0.0000,0.0647,99.5303
00165,0.0213,0.0000,0.1200,99.6269
00173,0.0208,0.0000,0.1536,99.6329
00178,0.0124,0.0000,0.0883,100.0000
00179,0.0072,0.0000,0.0452,99.9651
00190,0.0232,0.0000,0.3553,99.9186
00191,0.0137,0.0000,0.0875,99.9332
00192,0.0050,0.0000,0.0401,99.9661
00194,0.0045,0.0000,0.0638,94.9042
00198,0.0046,0.0000,0.0381,99.9261
00200,0.0134,0.0000,0.0996,84.2893
00202,0.0098,0.0000,0.0577,99.5902
00207,0.0095,0.0000,0.0531,99.7553
00208,0.0036,0.0000,0.0782,99.8631
00209,0.0082,0.0000,0.0581,99.0489
00210,0.0068,0.0000,0.0825,99.9214
00211,0.0098,0.0000,0.0909,98.0798
00212,0.0118,0.0000,0.0572,99.9336
00213,0.0078,0.0000,0.0837,99.6288
00214,0.0227,0.0000,0.2117,99.8590
00218,0.0263,0.0000,0.1585,99.6497
00220,0.0202,0.0000,0.1815,99.5042
00221,0.0079,0.0000,0.0736,97.7821
00222,0.0047,0.0000,0.0557,98.8730
00224,0.0197,0.0000,0.1110,99.7118
00225,0.0054,0.0000,0.0860,96.9925
00226,0.0179,0.0000,0.0760,99.9272
00227,0.0080,0.0000,0.1220,98.8653
00228,0.0073,0.0000,0.0600,99.2958
00229,0.4713,0.0000,1.6539,100.0000
00232,0.0299,0.0000,0.2119,99.5854
00233,0.0164,0.0000,0.1422,100.0000
00234,0.0378,0.0000,0.2270,100.0000
00236,0.0058,0.0000,0.0586,98.6799
00237,0.0069,0.0000,0.0868,98.8938
00238,0.0210,0.0000,0.2141,99.0923
00239,0.0036,0.0000,0.0349,98.4150
00240,0.0064,0.0000,0.0528,99.4811
00241,0.0126,0.0000,0.0979,99.7185
00243,0.0913,0.0000,0.5659,100.0000
00245,0.0250,0.0000,0.1599,99.8239
00247,0.0028,0.0000,0.0315,99.2854
00249,0.0063,0.0000,0.0416,99.8965
00251,0.0030,0.0000,0.0324,99.7283
00252,0.0025,0.0000,0.0240,99.4048
00258,0.0717,0.0000,0.3498,99.5146
00266,1.9225,0.2048,4.6808,100.0000
00267,0.0086,0.0000,0.0799,97.4635
00268,0.0051,0.0000,0.0630,97.0600
00269,0.0036,0.0000,0.0316,99.9157
00273,0.0035,0.0000,0.0345,99.2195
00274,0.0077,0.0000,0.0620,96.2596
00285,0.0047,0.0000,0.0532,96.1211
00288,0.0031,0.0000,0.0368,98.5008
00289,0.1155,0.0000,0.5226,100.0000
00295,0.8751,0.0840,4.2379,100.0000
00296,0.0139,0.0000,0.1556,99.7881
00299,0.0044,0.0000,0.0662,98.7595
00300,0.0047,0.0000,0.0376,99.9632
00303,0.3945,0.0000,1.0777,100.0000
00304,0.0096,0.0000,0.0501,97.9035
00305,0.0052,0.0000,0.0361,96.6285
00307,0.2016,0.0000,1.3140,98.9130
00309,0.0049,0.0000,0.0534,98.7384
00310,0.0430,0.0000,0.2058,93.2806
00311,0.4230,0.0000,1.7111,96.0784
00312,0.0142,0.0000,0.1072,97.8838
00317,0.1056,0.0000,0.6534,100.0000
00319,0.0045,0.0000,0.0477,98.1672
00322,0.0075,0.0000,0.0555,97.1320
00324,0.0078,0.0000,0.0738,96.4572
00325,0.0047,0.0000,0.0718,97.8311
00326,0.0033,0.0000,0.0369,97.3953
00330,0.0113,0.0000,0.0827,97.8159
00331,0.0397,0.0000,0.4055,98.4043
00332,0.0212,0.0000,0.1425,100.0000
00339,0.5022,0.0000,2.9253,96.6667
00342,0.0252,0.0000,0.1182,100.0000
00343,0.0119,0.0000,0.0684,99.2508
00351,0.0061,0.0000,0.0462,98.2123
00354,0.1733,0.0000,0.5691,100.0000
00355,0.0413,0.0000,0.2057,97.8485
00356,0.0037,0.0000,0.0390,99.0385
00357,0.0056,0.0000,0.0472,98.3740
00358,0.0029,0.0000,0.0471,97.0892
00359,0.0147,0.0000,0.1101,98.0326
00363,0.0042,0.0000,0.0302,97.8356
00376,0.0053,0.0000,0.0348,99.6980
00377,0.0051,0.0000,0.0662,97.3161
00382,0.0032,0.0000,0.0312,98.9912
00383,0.0510,0.0000,0.9133,97.9839
00459,0.0308,0.0000,0.1511,90.9875
00460,0.0591,0.0000,0.3034,100.0000
00463,0.0085,0.0000,0.0930,96.1330
00465,0.0881,0.0000,0.3378,98.8562
00466,0.0367,0.0000,0.2396,91.8367
00467,0.1391,0.0000,0.9184,99.2593
00469,0.0234,0.0000,0.1597,96.2880
00471,0.0048,0.0000,0.0489,99.9039
00472,0.0049,0.0000,0.0559,97.9577
00473,0.0696,0.0000,0.2482,99.2152
00475,0.0460,0.0000,0.5575,99.3808
00477,0.0027,0.0000,0.0198,100.0000
00480,0.0042,0.0000,0.0422,97.0100
00481,0.0090,0.0000,0.0614,95.5592
00487,0.0209,0.0000,0.1017,98.3888
00488,0.0068,0.0000,0.0483,96.1760
00491,0.0233,0.0000,0.3352,95.8791
00492,0.0724,0.0000,0.2563,98.1693
00493,0.0086,0.0000,0.0869,97.2816
00494,0.0062,0.0000,0.0491,97.2812
00495,0.0074,0.0000,0.0791,98.9044
00496,0.0039,0.0000,0.1469,99.7227
00499,0.0183,0.0000,0.1067,96.0449
00500,0.0200,0.0000,0.1073,98.9130
00501,0.0217,0.0000,0.1856,97.6930
00503,0.0040,0.0000,0.0374,92.5221
00505,0.0084,0.0000,0.0923,96.2645
00507,0.0062,0.0000,0.0626,94.3389
00509,0.0033,0.0000,0.0356,97.2291
00510,0.0013,0.0000,0.0654,99.9384
00511,0.0564,0.0000,0.4622,99.8778
00512,0.0221,0.0000,0.1523,97.7503
00513,0.0059,0.0000,0.0338,92.2137
00514,0.0063,0.0000,0.0762,99.6135
00518,0.0255,0.0000,0.1824,99.8328
00519,0.0002,0.0000,0.0431,100.0000
00520,0.0070,0.0000,0.0395,98.9590
00521,0.0159,0.0000,0.0769,95.0037
00522,0.0002,0.0000,0.0519,99.9798
00525,0.0171,0.0000,0.1163,97.1246
00531,0.0210,0.0000,0.1330,96.1896
00533,0.0251,0.0000,0.2923,99.3865
00534,0.0038,0.0000,0.0465,99.8961
00535,0.0051,0.0000,0.0539,97.7837
00539,0.0105,0.0000,0.1186,96.9029
00540,0.0078,0.0000,0.0750,95.7333
00542,0.1117,0.0000,0.4473,99.3590
00544,0.1000,0.0000,0.4046,98.9510
00545,0.0259,0.0000,0.1318,96.3438
00546,0.0031,0.0000,0.0313,96.2535
00547,0.0068,0.0000,0.0668,97.1882
00548,0.0069,0.0000,0.0515,98.4551
00549,0.0218,0.0000,0.1417,96.3190
00550,0.0092,0.0000,0.0593,93.5594
00553,0.0145,0.0000,0.1261,98.4285
00554,0.0181,0.0000,0.1299,95.6418
00555,0.0090,0.0000,0.0538,93.1050
00560,0.0110,0.0000,0.1072,98.2126
00562,0.0081,0.0000,0.0880,99.4121
00563,0.0066,0.0000,0.0623,97.2877
00565,0.0079,0.0000,0.0779,98.7960
00566,0.0061,0.0000,0.0460,97.8313
00569,0.0052,0.0000,0.0955,99.1877
00572,0.0104,0.0000,0.0696,99.9423
00574,0.0051,0.0000,0.0491,94.9244
00575,0.0099,0.0000,0.0731,98.9377
00578,0.1618,0.0000,0.7580,97.6190
00580,0.0039,0.0000,0.0440,96.8354
00581,0.0081,0.0000,0.0880,96.6629
00584,0.0880,0.0000,0.5030,100.0000
00585,0.0175,0.0000,0.1101,98.7398
00588,0.0094,0.0000,0.0718,99.3122
00590,0.0616,0.0000,0.5172,98.0969
00595,0.0073,0.0000,0.0654,96.6245
00597,0.0068,0.0000,0.0984,97.9870
00599,0.0200,0.0000,0.1345,100.0000
00600,0.0057,0.0000,0.0541,94.7817
00601,0.0071,0.0000,0.0851,99.0438
00602,0.0085,0.0000,0.0555,98.6882
00605,0.0085,0.0000,0.0699,97.2645
00606,0.0071,0.0000,0.0659,97.6823
00607,0.0066,0.0000,0.0588,96.9013
00610,0.0067,0.0000,0.0519,93.0375
00611,0.0084,0.0000,0.0560,93.8729
00613,0.0161,0.0000,0.1248,98.6595
00616,0.0065,0.0000,0.0597,98.0556
00617,0.1454,0.0000,0.5446,97.0046
00618,0.0188,0.0000,0.1204,96.6571
00619,0.0052,0.0000,0.0601,97.6998
00621,0.0817,0.0000,0.5848,99.6403
00622,0.0272,0.0000,0.1642,96.1170
00623,0.0021,0.0000,0.0407,98.0455
00624,0.0086,0.0000,0.1065,98.2170
00626,0.0077,0.0000,0.0641,96.1700
00627,0.1184,0.0000,0.9697,98.9848
00632,0.1027,0.0000,0.5520,99.4186
00633,0.5297,0.0803,1.4703,100.0000
00634,0.0936,0.0000,0.3396,97.7113
00636,0.0155,0.0000,0.1300,97.2151
00638,0.0428,0.0000,0.5301,99.1781
00641,0.0046,0.0000,0.0505,98.8583
00642,0.0169,0.0000,0.1012,98.0488
00643,0.0277,0.0000,0.2685,99.8452
00644,0.0108,0.0000,0.0790,93.5224
00645,0.0516,0.0000,0.3651,99.0305
00646,0.0072,0.0000,0.0590,98.8140
00649,0.0440,0.0000,0.1774,100.0000
00650,0.0070,0.0000,0.0975,97.7401
00653,0.0047,0.0000,0.0463,97.1033
00654,0.0064,0.0000,0.0615,97.1779
00658,0.0432,0.0000,0.2635,95.4039
00661,0.0261,0.0000,0.1093,93.6966
00663,0.0448,0.0000,0.3530,98.6278
00666,0.0246,0.0000,0.2799,99.7423
00667,0.0061,0.0000,0.0662,96.6483
00668,0.0051,0.0000,0.0460,99.1089
00669,0.0073,0.0000,0.0484,96.8948
00670,0.0806,0.0000,0.3904,100.0000
00672,0.0162,0.0000,0.0918,97.3655
00675,0.2192,0.0000,0.7209,99.1803
00676,0.0164,0.0000,0.1579,97.7901
00677,0.0234,0.0000,0.1828,91.6118
00678,0.0059,0.0000,0.0882,94.6366
00679,0.0043,0.0000,0.0441,96.8687
00680,0.0073,0.0000,0.1141,98.7796
00682,0.0085,0.0000,0.0994,97.9597
00683,0.0090,0.0000,0.0831,97.2427
00686,0.0204,0.0000,0.1677,98.3294
00687,0.0635,0.0000,0.2614,100.0000
00688,0.0189,0.0000,0.1135,96.7037
00690,0.0338,0.0000,0.1379,92.8571
00691,0.0039,0.0000,0.0456,96.7399
00693,0.1698,0.0000,1.0205,99.3151
00694,0.0195,0.0000,0.1145,96.9560
00695,0.0159,0.0000,0.1066,96.6632
00696,0.0073,0.0000,0.0632,95.7566
00699,0.1180,0.0000,0.4864,94.2786
00700,0.0045,0.0000,0.0723,99.0046
00704,0.0061,0.0000,0.0784,97.8356
00706,0.0064,0.0000,0.0511,98.1464
00707,0.0444,0.0000,0.1903,100.0000
00710,0.0091,0.0000,0.0979,97.7784
00711,0.0502,0.0000,0.2833,100.0000
00712,0.0067,0.0000,0.0681,96.7041
00714,0.0046,0.0000,0.0264,99.9139
00716,0.0752,0.0000,0.6207,97.6038
00718,0.0072,0.0000,0.0544,97.3886
00719,0.0019,0.0000,0.0246,99.8489
00721,0.0123,0.0000,0.0972,99.4227
00722,0.0105,0.0000,0.0736,95.4595
00728,0.0510,0.0000,0.4595,100.0000
00729,0.0148,0.0000,0.1258,92.0596
00730,0.0211,0.0000,0.1338,97.3751
00731,0.0233,0.0000,0.1449,98.0707
00732,0.0042,0.0000,0.0516,98.5579
00733,0.0211,0.0000,0.2362,91.9643
00737,0.0075,0.0000,0.0565,97.0911
00740,0.0030,0.0000,0.0367,99.8984
00741,0.0031,0.0000,0.0328,99.9741
00742,0.0503,0.0000,0.3305,94.8012
00743,0.0107,0.0000,0.0709,95.0300
00745,0.0792,0.0000,0.4946,99.8397
00746,0.0111,0.0000,0.1077,98.7753
00747,0.0076,0.0000,0.0548,95.1685
00748,0.0058,0.0000,0.0471,98.1354
00749,0.0611,0.0000,0.2355,99.4090
00750,0.0051,0.0000,0.0526,97.2603
00752,0.0255,0.0000,0.1814,100.0000
00753,0.0110,0.0000,0.0890,97.6934
00755,0.0196,0.0000,0.1739,98.6574
00756,0.0545,0.0000,0.4597,99.6885
00757,0.0064,0.0000,0.0574,98.6882
00764,0.0270,0.0000,0.1209,96.7294
00765,0.0294,0.0000,0.2332,95.9215
00767,0.0067,0.0000,0.0562,96.7757
00771,0.0172,0.0000,0.1072,94.6457
00772,0.0063,0.0000,0.0618,98.4167
00773,0.0215,0.0000,0.1233,99.0557
00774,0.1823,0.0000,0.9816,98.2877
00775,0.0077,0.0000,0.0593,98.0408
00776,0.0059,0.0000,0.0579,96.2549
00777,0.0257,0.0000,0.1166,94.4056
00779,0.0058,0.0000,0.0531,97.2807
00789,0.0058,0.0000,0.0786,96.5233
00790,0.0096,0.0000,0.0680,97.9039
00791,0.0580,0.0000,0.4242,97.5410
00795,0.0116,0.0000,0.0816,95.7729
00796,0.0025,0.0000,0.0284,95.9644
00798,0.0128,0.0000,0.3734,99.5775
00801,0.0389,0.0000,0.2194,99.5787
00802,0.0089,0.0000,0.0596,95.0402
00803,0.0240,0.0000,0.4614,100.0000
00804,0.0015,0.0000,0.0233,97.9052
00806,0.0044,0.0000,0.0407,99.4191
00807,0.0652,0.0000,0.4393,98.0892
00808,0.0049,0.0000,0.0765,99.1085
00810,0.0176,0.0000,0.1786,100.0000
00811,0.0074,0.0000,0.0604,95.2657
00812,0.0066,0.0000,0.0596,98.4954
00814,0.0102,0.0000,0.1001,97.5455
00818,0.0233,0.0000,0.1733,95.5333
00819,0.1350,0.0000,0.7755,100.0000
00820,0.0273,0.0000,0.1686,97.2700
00821,0.0058,0.0000,0.0556,98.5730
00823,0.0119,0.0000,0.0767,95.8333
00825,0.2128,0.0000,0.8224,98.8235
00827,0.0352,0.0000,0.2137,98.9270
00828,0.1053,0.0000,0.4026,96.6480
00831,0.0081,0.0000,0.0673,96.6194
00832,0.0540,0.0000,0.4682,98.1191
00833,0.0105,0.0000,0.0874,96.7962
00835,0.0022,0.0000,0.0256,99.6047
00837,0.0041,0.0000,0.0460,96.2042
00840,0.0046,0.0000,0.0475,97.6077
00841,0.1543,0.0000,0.7150,96.1538
00842,0.0260,0.0000,0.1751,99.7832
00849,0.0727,0.0000,0.3516,94.9296
00850,0.0217,0.0000,0.1225,97.5420
00851,0.0137,0.0000,0.0767,94.3281
00852,0.0066,0.0000,0.0584,97.5558
00853,0.0241,0.0000,0.1814,99.1701
00855,0.0097,0.0000,0.0738,95.5061
00859,0.0042,0.0000,0.0428,99.0916
00861,0.0133,0.0000,0.0605,93.9572
00864,0.0055,0.0000,0.0914,93.7560
00865,0.0100,0.0000,0.0625,96.1858
00868,0.0086,0.0000,0.0679,97.6013
00869,0.0084,0.0000,0.0741,97.0233
00872,0.0158,0.0000,0.1795,98.7106
00873,0.0346,0.0000,0.2588,94.7368
00874,0.0059,0.0000,0.0508,95.7826
00875,0.0195,0.0000,0.1266,95.7067
00876,0.0320,0.0000,0.1295,98.4921
00878,0.0058,0.0000,0.0462,96.5941
00880,0.0065,0.0000,0.0491,96.2083
00881,0.0084,0.0000,0.0696,95.4638
00882,0.0070,0.0000,0.0651,99.2839
00886,0.0681,0.0000,0.7833,100.0000
00888,0.0064,0.0000,0.0689,99.0731
00889,0.0256,0.0000,0.2365,93.1452
00890,0.0281,0.0000,0.0956,98.5123
00891,0.0227,0.0000,0.2037,98.0645
00892,0.0077,0.0000,0.0566,96.0514
00894,0.0269,0.0000,0.1695,98.6293
00896,0.0073,0.0000,0.0659,97.6602
00897,0.0226,0.0000,0.1024,98.2517
00898,0.0115,0.0000,0.0884,96.4925
00899,0.0076,0.0000,0.0788,97.5351
00900,0.0055,0.0000,0.0630,95.4332
00904,0.0285,0.0000,0.1553,94.0594
00905,0.0072,0.0000,0.0628,96.4106
00907,0.0082,0.0000,0.0537,93.5880
00911,0.0071,0.0000,0.0593,97.5000
00912,0.0077,0.0000,0.0624,95.4989
00914,0.0124,0.0000,0.1299,99.6324
00915,0.0171,0.0000,0.0755,97.4308
00921,0.0048,0.0000,0.0446,98.7976
00923,0.0388,0.0000,0.3491,97.6974
00924,0.0072,0.0000,0.0726,94.6614
00926,0.0243,0.0000,0.1077,96.4597
00927,0.0063,0.0000,0.0549,97.4734
00930,0.0281,0.0000,0.1974,99.8462
00931,0.0376,0.0000,0.1363,94.0464
00932,0.0029,0.0000,0.0241,99.8470
00933,0.0055,0.0000,0.0728,98.0724
00934,0.0086,0.0000,0.0740,96.7271
00935,0.0036,0.0000,0.0286,99.9330
00938,0.0264,0.0000,0.3502,95.1100
00939,0.7520,0.2419,2.0162,96.8750
00944,0.0053,0.0000,0.0802,99.0814
00945,0.0041,0.0000,0.0412,92.3833
00947,0.0054,0.0000,0.0637,97.5229
00948,0.0069,0.0000,0.0598,95.5516
00949,0.0053,0.0000,0.0590,96.7351
00953,0.0052,0.0000,0.0545,95.7410
00955,0.4128,0.0000,1.1222,100.0000
00956,0.0603,0.0000,0.4478,97.2441
00960,0.0059,0.0000,0.0481,96.4869
00961,0.0513,0.0000,0.3097,96.6851
00963,0.0252,0.0000,0.1541,95.2189
00965,0.1254,0.0000,0.4446,98.8215
00968,0.0912,0.0000,0.3090,99.7076
00969,0.0218,0.0000,0.1317,97.0806
00971,0.0142,0.0000,0.1019,96.3794
00974,0.0072,0.0000,0.0644,96.1918
00976,0.0081,0.0000,0.0470,92.2242
00980,0.0028,0.0000,0.0497,98.9940
00981,0.0034,0.0000,0.0308,95.4610
00982,0.0687,0.0000,0.7225,99.6894
00983,0.0200,0.0000,0.1304,99.1121
00984,0.0371,0.0000,0.8670,100.0000
00986,0.0330,0.0000,0.1819,99.2754
00989,0.0282,0.0000,0.2393,99.1549
00991,0.0061,0.0000,0.0590,98.1859
00992,0.0005,0.0000,0.1130,99.8411
00997,0.0742,0.0000,0.5934,96.2963
00998,0.0424,0.0000,0.3140,100.0000
00999,0.0104,0.0000,0.0992,97.6960
01000,0.0155,0.0000,0.1110,98.6145
01001,0.0289,0.0000,0.1391,98.4897
01002,0.0241,0.0000,0.1451,95.9052
01003,0.0113,0.0000,0.0836,98.6267
01009,0.0074,0.0000,0.0688,95.6438
01010,0.0091,0.0000,0.0913,97.0668
01012,0.0190,0.0000,0.2344,95.4698
01015,0.0047,0.0000,0.0340,93.5290
01018,0.0378,0.0000,0.2486,98.2090
01019,0.0070,0.0000,0.0532,96.5315
01020,0.0284,0.0000,0.1268,94.9550
01021,0.0030,0.0000,0.0533,98.6784
01022,0.0990,0.0000,0.6045,99.5536
01024,0.0065,0.0000,0.0596,96.6521
01025,0.0129,0.0000,0.0618,100.0000
01029,0.0611,0.0000,0.4484,98.9362
01030,0.0110,0.0000,0.0863,98.3902
01031,0.0438,0.0000,0.3358,99.8288
01032,0.0763,0.0000,0.2997,98.2385
01034,0.0078,0.0000,0.0502,97.5633
01035,0.0150,0.0000,0.1589,99.1876
01036,0.0217,0.0000,0.1219,98.1624
01038,0.0861,0.0000,0.9361,98.8550
01039,0.1002,0.0000,0.4276,96.2963
01041,0.0057,0.0000,0.0568,97.4245
01042,0.0056,0.0000,0.0570,98.7079
01044,0.0098,0.0000,0.0572,99.0628
01045,0.0033,0.0000,0.0308,99.5017
01046,0.0033,0.0000,0.0362,94.7482
01050,0.0074,0.0000,0.0562,97.1947
01051,0.0077,0.0000,0.0406,95.2146
01052,0.0478,0.0000,0.1849,95.4333
01054,0.0043,0.0000,0.0394,94.1502
01055,0.0050,0.0000,0.0322,92.8070
01056,0.0356,0.0000,0.1942,94.4501
01057,0.0336,0.0000,0.2356,97.0223
01058,0.0086,0.0000,0.0863,94.4531
01059,0.0735,0.0000,0.4661,97.9592
01060,0.0330,0.0000,0.2396,96.3816
01062,0.0071,0.0000,0.0915,98.1905
01063,0.0036,0.0000,0.0559,99.5641
01064,0.0456,0.0000,0.2635,95.7407
01065,0.0070,0.0000,0.0566,92.1801
01066,0.0028,0.0000,0.0639,98.7204
01069,0.0118,0.0000,0.0953,96.4974
01070,0.0366,0.0000,0.3328,94.6996
01073,0.0093,0.0000,0.0679,94.5659
01075,0.1080,0.0000,0.3914,100.0000
01076,0.0499,0.0000,0.2853,96.2185
01077,0.0059,0.0000,0.0536,96.6524
01080,0.0129,0.0000,0.1645,98.7131
01081,0.0591,0.0000,0.2968,99.7653
01082,0.0309,0.0000,0.2273,99.4932
01083,0.0047,0.0000,0.0581,98.5734
01084,0.0184,0.0000,0.1337,96.3863
01085,0.0037,0.0000,0.0419,95.6252
01086,0.0096,0.0000,0.1125,96.4901
01087,0.1785,0.0000,0.4745,100.0000
01088,0.0992,0.0000,0.3953,91.3386
01089,0.0393,0.0000,0.5405,99.4709
01090,0.0101,0.0000,0.0712,94.3226
01091,0.0268,0.0000,0.1374,96.9803
01092,0.0087,0.0000,0.1065,93.4749
01093,0.0177,0.0000,0.1612,99.0401
01095,0.0077,0.0000,0.0684,96.7137
01099,0.0505,0.0000,0.4359,98.9189
01100,0.0119,0.0000,0.0793,97.7844
01102,0.2374,0.0000,0.8878,94.7619
01103,0.0055,0.0000,0.0348,96.9449
01104,0.0055,0.0000,0.0580,98.1105
01105,0.0252,0.0000,0.1223,98.8083
01106,0.0207,0.0000,0.1662,99.0141
